date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,Dublin,30,1,1.4666666666666666,44
2019-12-27,Dublin,26,1,2.6153846153846154,68
2019-12-28,Dublin,28,1,3.2857142857142856,92
2019-12-29,Dublin,32,1,3.5625,114
2019-12-30,Dublin,20,1,1.8,36
2019-12-31,Dublin,36,1,1.8333333333333333,66
2020-01-01,Dublin,52,1,2.6346153846153846,137
2020-01-02,Dublin,26,1,2.769230769230769,72
2020-01-03,Dublin,45,0,2.577777777777778,116
2020-01-04,Dublin,48,0,2.6458333333333335,127
2020-01-05,Dublin,46,0,2.5,115
2020-01-06,Dublin,38,0,4.394736842105263,167
2020-01-07,Dublin,41,0,3.707317073170732,152
2020-01-08,Dublin,28,0,1.9285714285714286,54
2020-01-09,Dublin,42,0,2.3333333333333335,98
2020-01-10,Dublin,32,3,2.125,68
2020-01-11,Dublin,38,3,1.736842105263158,66
2020-01-12,Dublin,34,3,3.176470588235294,108
2020-01-13,Dublin,38,3,2.0,76
2020-01-14,Dublin,38,3,2.5789473684210527,98
2020-01-15,Dublin,50,3,1.9,95
2020-01-16,Dublin,67,3,2.014925373134328,135
2020-01-17,Dublin,38,2,2.0789473684210527,79
2020-01-18,Dublin,38,2,1.263157894736842,48
2020-01-19,Dublin,43,2,2.2093023255813953,95
2020-01-20,Dublin,44,2,2.340909090909091,103
2020-01-21,Dublin,42,2,2.7857142857142856,117
2020-01-22,Dublin,45,2,2.7111111111111112,122
2020-01-23,Dublin,45,2,1.3555555555555556,61
2020-01-24,Dublin,46,1,1.8043478260869565,83
2020-01-25,Dublin,83,1,2.0240963855421685,168
2020-01-26,Dublin,43,1,2.0930232558139537,90
2020-01-27,Dublin,46,1,1.7826086956521738,82
2020-01-28,Dublin,38,1,1.4736842105263157,56
2020-01-29,Dublin,47,1,2.0425531914893615,96
2020-01-30,Dublin,49,1,2.2244897959183674,109
2020-01-31,Dublin,50,1,2.02,101
2020-02-01,Dublin,56,1,2.5357142857142856,142
2020-02-02,Dublin,22,0,2.909090909090909,64
2020-02-03,Dublin,39,0,2.7435897435897436,107
2020-02-04,Dublin,52,0,2.1153846153846154,110
2020-02-05,Dublin,20,0,3.8,76
2020-02-06,Dublin,38,0,3.0526315789473686,116
2020-02-07,Dublin,44,0,1.8181818181818181,80
2020-02-08,Dublin,67,0,2.5671641791044775,172
2020-02-09,Dublin,71,3,2.7746478873239435,197
2020-02-10,Dublin,58,3,2.5,145
2020-02-11,Dublin,42,3,2.119047619047619,89
2020-02-12,Dublin,47,3,2.382978723404255,112
2020-02-13,Dublin,51,3,2.549019607843137,130
2020-02-14,Dublin,36,3,3.5555555555555554,128
2020-02-15,Dublin,41,2,1.951219512195122,80
2020-02-16,Dublin,50,2,1.86,93
2020-02-17,Dublin,39,2,2.9743589743589745,116
2020-02-18,Dublin,41,2,2.2195121951219514,91
2020-02-19,Dublin,45,2,2.6666666666666665,120
2020-02-20,Dublin,53,2,2.339622641509434,124
2020-02-21,Dublin,43,2,3.5348837209302326,152
2020-02-22,Dublin,63,2,2.3174603174603177,146
2020-02-23,Dublin,42,1,3.357142857142857,141
