date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,beautiful,81,1,2.506172839506173,203
2019-12-27,beautiful,79,1,2.6835443037974684,212
2019-12-28,beautiful,89,1,2.539325842696629,226
2019-12-29,beautiful,90,1,2.6444444444444444,238
2019-12-30,beautiful,89,1,2.842696629213483,253
2019-12-31,beautiful,87,1,2.4367816091954024,212
2020-01-01,beautiful,110,1,2.881818181818182,317
2020-01-02,beautiful,90,1,2.511111111111111,226
2020-01-03,beautiful,85,0,2.8941176470588235,246
2020-01-04,beautiful,86,0,2.988372093023256,257
2020-01-05,beautiful,102,0,2.9019607843137254,296
2020-01-06,beautiful,98,0,2.816326530612245,276
2020-01-07,beautiful,81,0,3.345679012345679,271
2020-01-08,beautiful,95,0,3.0526315789473686,290
2020-01-09,beautiful,116,0,3.5172413793103448,408
2020-01-10,beautiful,143,3,3.1468531468531467,450
2020-01-11,beautiful,102,3,2.8823529411764706,294
2020-01-12,beautiful,94,3,3.2872340425531914,309
2020-01-13,beautiful,93,3,3.978494623655914,370
2020-01-14,beautiful,106,3,3.4245283018867925,363
2020-01-15,beautiful,103,3,2.8155339805825244,290
2020-01-16,beautiful,96,3,3.5625,342
2020-01-17,beautiful,107,2,3.616822429906542,387
2020-01-18,beautiful,101,2,3.8316831683168315,387
2020-01-19,beautiful,100,2,3.87,387
2020-01-20,beautiful,103,2,3.4174757281553396,352
2020-01-21,beautiful,109,2,3.2018348623853212,349
2020-01-22,beautiful,100,2,3.26,326
2020-01-23,beautiful,103,2,3.6407766990291264,375
2020-01-24,beautiful,395,1,6.1645569620253164,2435
2020-01-25,beautiful,388,1,6.293814432989691,2442
2020-01-26,beautiful,396,1,6.2272727272727275,2466
2020-01-27,beautiful,434,1,5.817972350230415,2525
2020-01-28,beautiful,352,1,6.494318181818182,2286
2020-01-29,beautiful,351,1,6.415954415954416,2252
2020-01-30,beautiful,344,1,6.151162790697675,2116
2020-01-31,beautiful,361,1,3.925207756232687,1417
2020-02-01,beautiful,374,1,3.7620320855614975,1407
2020-02-02,beautiful,387,0,3.58656330749354,1388
2020-02-03,beautiful,369,0,3.7804878048780486,1395
2020-02-04,beautiful,375,0,3.6826666666666665,1381
2020-02-05,beautiful,363,0,3.721763085399449,1351
2020-02-06,beautiful,381,0,3.7874015748031495,1443
2020-02-07,beautiful,349,0,3.871060171919771,1351
2020-02-08,beautiful,364,0,3.840659340659341,1398
2020-02-09,beautiful,369,3,3.7371273712737128,1379
2020-02-10,beautiful,382,3,3.8821989528795813,1483
2020-02-11,beautiful,360,3,3.9166666666666665,1410
2020-02-12,beautiful,373,3,3.8284182305630026,1428
2020-02-13,beautiful,239,3,3.7656903765690375,900
2020-02-14,beautiful,64,3,3.203125,205
2020-02-15,beautiful,29,2,2.103448275862069,61
2020-02-16,beautiful,51,2,2.372549019607843,121
2020-02-17,beautiful,62,2,2.467741935483871,153
2020-02-18,beautiful,36,2,2.8055555555555554,101
2020-02-19,beautiful,82,2,3.268292682926829,268
2020-02-20,beautiful,65,2,3.3846153846153846,220
2020-02-21,beautiful,72,2,3.236111111111111,233
2020-02-22,beautiful,70,2,3.3714285714285714,236
2020-02-23,beautiful,350,1,3.842857142857143,1345
