date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,beer,70,1,2.3,161
2019-12-27,beer,76,1,1.9078947368421053,145
2019-12-28,beer,77,1,2.6103896103896105,201
2019-12-29,beer,78,1,2.1153846153846154,165
2019-12-30,beer,76,1,1.894736842105263,144
2019-12-31,beer,79,1,2.0,158
2020-01-01,beer,75,1,1.8266666666666667,137
2020-01-02,beer,66,1,2.5,165
2020-01-03,beer,78,0,2.269230769230769,177
2020-01-04,beer,78,0,2.6666666666666665,208
2020-01-05,beer,82,0,1.8658536585365855,153
2020-01-06,beer,74,0,2.324324324324324,172
2020-01-07,beer,76,0,2.236842105263158,170
2020-01-08,beer,76,0,2.8289473684210527,215
2020-01-09,beer,72,0,2.513888888888889,181
2020-01-10,beer,108,3,1.9166666666666667,207
2020-01-11,beer,89,3,1.9662921348314606,175
2020-01-12,beer,78,3,2.6025641025641026,203
2020-01-13,beer,76,3,2.526315789473684,192
2020-01-14,beer,82,3,2.2804878048780486,187
2020-01-15,beer,74,3,2.445945945945946,181
2020-01-16,beer,85,3,2.1058823529411765,179
2020-01-17,beer,72,2,2.2777777777777777,164
2020-01-18,beer,80,2,1.9375,155
2020-01-19,beer,85,2,2.3176470588235296,197
2020-01-20,beer,58,2,3.1379310344827585,182
2020-01-21,beer,40,2,2.2,88
2020-01-22,beer,20,2,2.2,44
2020-01-23,beer,20,2,2.35,47
2020-01-24,beer,19,1,2.0526315789473686,39
2020-01-25,beer,20,1,1.6,32
2020-01-26,beer,20,1,1.7,34
2020-01-27,beer,60,1,2.2666666666666666,136
2020-01-28,beer,40,1,2.95,118
2020-01-29,beer,89,1,2.932584269662921,261
2020-01-30,beer,87,1,2.1724137931034484,189
2020-01-31,beer,119,1,2.226890756302521,265
2020-02-01,beer,97,1,2.381443298969072,231
2020-02-02,beer,94,0,2.1595744680851063,203
2020-02-03,beer,91,0,1.901098901098901,173
2020-02-04,beer,81,0,1.728395061728395,140
2020-02-05,beer,83,0,2.1204819277108435,176
2020-02-06,beer,75,0,1.9733333333333334,148
2020-02-07,beer,99,0,2.242424242424242,222
2020-02-08,beer,97,0,2.3608247422680413,229
2020-02-09,beer,76,3,2.1710526315789473,165
2020-02-10,beer,62,3,2.4838709677419355,154
2020-02-11,beer,69,3,3.0144927536231885,208
2020-02-12,beer,67,3,2.716417910447761,182
2020-02-13,beer,76,3,2.763157894736842,210
2020-02-14,beer,72,3,2.9722222222222223,214
2020-02-15,beer,62,2,2.4838709677419355,154
2020-02-16,beer,86,2,2.302325581395349,198
2020-02-17,beer,82,2,2.475609756097561,203
2020-02-18,beer,69,2,2.6666666666666665,184
2020-02-19,beer,76,2,2.539473684210526,193
2020-02-20,beer,64,2,2.84375,182
2020-02-21,beer,85,2,2.4352941176470586,207
2020-02-22,beer,85,2,2.4235294117647057,206
2020-02-23,beer,66,1,2.484848484848485,164
