date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,birthday,87,1,2.264367816091954,197
2019-12-27,birthday,100,1,1.87,187
2019-12-28,birthday,93,1,1.7849462365591398,166
2019-12-29,birthday,114,1,2.254385964912281,257
2019-12-30,birthday,92,1,1.8804347826086956,173
2019-12-31,birthday,89,1,2.4269662921348316,216
2020-01-01,birthday,94,1,1.9787234042553192,186
2020-01-02,birthday,108,1,2.6666666666666665,288
2020-01-03,birthday,107,0,2.0373831775700935,218
2020-01-04,birthday,107,0,2.05607476635514,220
2020-01-05,birthday,80,0,1.525,122
2020-01-06,birthday,100,0,1.88,188
2020-01-07,birthday,100,0,2.09,209
2020-01-08,birthday,112,0,1.8928571428571428,212
2020-01-09,birthday,88,0,1.4431818181818181,127
2020-01-10,birthday,117,3,2.213675213675214,259
2020-01-11,birthday,124,3,2.2419354838709675,278
2020-01-12,birthday,109,3,2.238532110091743,244
2020-01-13,birthday,105,3,2.1714285714285713,228
2020-01-14,birthday,102,3,2.1666666666666665,221
2020-01-15,birthday,109,3,1.6972477064220184,185
2020-01-16,birthday,92,3,1.923913043478261,177
2020-01-17,birthday,142,2,1.8169014084507042,258
2020-01-18,birthday,96,2,1.71875,165
2020-01-19,birthday,102,2,2.323529411764706,237
2020-01-20,birthday,149,2,1.516778523489933,226
2020-01-21,birthday,98,2,2.010204081632653,197
2020-01-22,birthday,90,2,2.1333333333333333,192
2020-01-23,birthday,95,2,2.2736842105263158,216
2020-01-24,birthday,101,1,2.5643564356435644,259
2020-01-25,birthday,100,1,2.45,245
2020-01-26,birthday,94,1,2.8404255319148937,267
2020-01-27,birthday,84,1,1.9523809523809523,164
2020-01-28,birthday,89,1,2.168539325842697,193
2020-01-29,birthday,97,1,2.3711340206185567,230
2020-01-30,birthday,87,1,1.8735632183908046,163
2020-01-31,birthday,100,1,2.13,213
2020-02-01,birthday,131,1,2.0076335877862594,263
2020-02-02,birthday,114,0,1.9035087719298245,217
2020-02-03,birthday,107,0,2.3271028037383177,249
2020-02-04,birthday,113,0,2.4601769911504423,278
2020-02-05,birthday,106,0,2.292452830188679,243
2020-02-06,birthday,140,0,1.8071428571428572,253
2020-02-07,birthday,174,0,1.7988505747126438,313
2020-02-08,birthday,86,0,2.0930232558139537,180
2020-02-09,birthday,93,3,1.6989247311827957,158
2020-02-10,birthday,108,3,2.009259259259259,217
2020-02-11,birthday,108,3,1.9074074074074074,206
2020-02-12,birthday,104,3,2.3365384615384617,243
2020-02-13,birthday,93,3,2.225806451612903,207
2020-02-14,birthday,114,3,2.0701754385964914,236
2020-02-15,birthday,86,2,2.5813953488372094,222
2020-02-16,birthday,96,2,1.8958333333333333,182
2020-02-17,birthday,136,2,2.4411764705882355,332
2020-02-18,birthday,90,2,1.7555555555555555,158
2020-02-19,birthday,98,2,2.2857142857142856,224
2020-02-20,birthday,93,2,2.021505376344086,188
2020-02-21,birthday,82,2,2.0121951219512195,165
2020-02-22,birthday,90,2,1.8777777777777778,169
2020-02-23,birthday,115,1,2.7043478260869565,311
