date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,challenge,49,1,1.9591836734693877,96
2019-12-27,challenge,47,1,1.7872340425531914,84
2019-12-28,challenge,50,1,1.54,77
2019-12-29,challenge,54,1,1.8703703703703705,101
2019-12-30,challenge,54,1,1.1666666666666667,63
2019-12-31,challenge,50,1,2.12,106
2020-01-01,challenge,49,1,1.2653061224489797,62
2020-01-02,challenge,58,1,1.5862068965517242,92
2020-01-03,challenge,55,0,1.8181818181818181,100
2020-01-04,challenge,61,0,1.360655737704918,83
2020-01-05,challenge,42,0,1.380952380952381,58
2020-01-06,challenge,63,0,1.9365079365079365,122
2020-01-07,challenge,58,0,2.1724137931034484,126
2020-01-08,challenge,48,0,2.8125,135
2020-01-09,challenge,41,0,2.4146341463414633,99
2020-01-10,challenge,63,3,1.9206349206349207,121
2020-01-11,challenge,55,3,2.6363636363636362,145
2020-01-12,challenge,55,3,1.9272727272727272,106
2020-01-13,challenge,40,3,2.075,83
2020-01-14,challenge,47,3,1.148936170212766,54
2020-01-15,challenge,56,3,2.8035714285714284,157
2020-01-16,challenge,46,3,1.7826086956521738,82
2020-01-17,challenge,49,2,1.9387755102040816,95
2020-01-18,challenge,59,2,2.3220338983050848,137
2020-01-19,challenge,45,2,2.4,108
2020-01-20,challenge,55,2,2.1272727272727274,117
2020-01-21,challenge,57,2,1.736842105263158,99
2020-01-22,challenge,46,2,2.0,92
2020-01-23,challenge,42,2,1.3333333333333333,56
2020-01-24,challenge,53,1,2.150943396226415,114
2020-01-25,challenge,53,1,2.2641509433962264,120
2020-01-26,challenge,46,1,2.369565217391304,109
2020-01-27,challenge,63,1,2.6984126984126986,170
2020-01-28,challenge,57,1,2.7719298245614037,158
2020-01-29,challenge,48,1,2.5625,123
2020-01-30,challenge,58,1,2.603448275862069,151
2020-01-31,challenge,53,1,1.6226415094339623,86
2020-02-01,challenge,54,1,2.4814814814814814,134
2020-02-02,challenge,57,0,1.9473684210526316,111
2020-02-03,challenge,77,0,1.844155844155844,142
2020-02-04,challenge,52,0,1.8269230769230769,95
2020-02-05,challenge,67,0,2.611940298507463,175
2020-02-06,challenge,48,0,2.1041666666666665,101
2020-02-07,challenge,58,0,1.4655172413793103,85
2020-02-08,challenge,45,0,2.1777777777777776,98
2020-02-09,challenge,44,3,1.9318181818181819,85
2020-02-10,challenge,46,3,1.7608695652173914,81
2020-02-11,challenge,48,3,1.8333333333333333,88
2020-02-12,challenge,65,3,2.276923076923077,148
2020-02-13,challenge,48,3,1.9375,93
2020-02-14,challenge,47,3,1.851063829787234,87
2020-02-15,challenge,45,2,1.5777777777777777,71
2020-02-16,challenge,45,2,3.1333333333333333,141
2020-02-17,challenge,48,2,2.2083333333333335,106
2020-02-18,challenge,52,2,2.076923076923077,108
2020-02-19,challenge,55,2,2.2545454545454544,124
2020-02-20,challenge,56,2,2.4285714285714284,136
2020-02-21,challenge,52,2,2.25,117
2020-02-22,challenge,51,2,2.1176470588235294,108
2020-02-23,challenge,36,1,1.7222222222222223,62
