date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,competition,20,1,0.6,12
2019-12-27,competition,28,1,1.4285714285714286,40
2019-12-28,competition,53,1,3.150943396226415,167
2019-12-29,competition,56,1,2.1785714285714284,122
2019-12-30,competition,46,1,2.5434782608695654,117
2019-12-31,competition,30,1,1.6666666666666667,50
2020-01-01,competition,37,1,1.7567567567567568,65
2020-01-02,competition,38,1,2.8421052631578947,108
2020-01-03,competition,37,0,3.108108108108108,115
2020-01-04,competition,36,0,3.111111111111111,112
2020-01-05,competition,37,0,3.2972972972972974,122
2020-01-06,competition,33,0,2.272727272727273,75
2020-01-07,competition,38,0,2.4473684210526314,93
2020-01-08,competition,44,0,2.3181818181818183,102
2020-01-09,competition,40,0,3.1,124
2020-01-10,competition,51,3,2.196078431372549,112
2020-01-11,competition,38,3,3.5789473684210527,136
2020-01-12,competition,36,3,2.2777777777777777,82
2020-01-13,competition,39,3,3.3333333333333335,130
2020-01-14,competition,51,3,2.2941176470588234,117
2020-01-15,competition,62,3,2.435483870967742,151
2020-01-16,competition,47,3,3.5531914893617023,167
2020-01-17,competition,42,2,3.3095238095238093,139
2020-01-18,competition,43,2,3.4651162790697674,149
2020-01-19,competition,39,2,3.7435897435897436,146
2020-01-20,competition,47,2,3.0638297872340425,144
2020-01-21,competition,45,2,3.1333333333333333,141
2020-01-22,competition,48,2,2.7708333333333335,133
2020-01-23,competition,50,2,3.6,180
2020-01-24,competition,45,1,2.577777777777778,116
2020-01-25,competition,51,1,3.156862745098039,161
2020-01-26,competition,28,1,4.071428571428571,114
2020-01-27,competition,53,1,2.7547169811320753,146
2020-01-28,competition,50,1,3.04,152
2020-01-29,competition,46,1,2.4347826086956523,112
2020-01-30,competition,48,1,2.5416666666666665,122
2020-01-31,competition,51,1,2.6862745098039214,137
2020-02-01,competition,38,1,2.736842105263158,104
2020-02-02,competition,35,0,2.857142857142857,100
2020-02-03,competition,52,0,2.4423076923076925,127
2020-02-04,competition,47,0,2.276595744680851,107
2020-02-05,competition,36,0,2.5,90
2020-02-06,competition,42,0,1.6904761904761905,71
2020-02-07,competition,45,0,3.977777777777778,179
2020-02-08,competition,40,0,3.325,133
2020-02-09,competition,40,3,2.375,95
2020-02-10,competition,51,3,2.6862745098039214,137
2020-02-11,competition,52,3,2.3076923076923075,120
2020-02-12,competition,44,3,2.772727272727273,122
2020-02-13,competition,68,3,1.6029411764705883,109
2020-02-14,competition,39,3,2.230769230769231,87
2020-02-15,competition,45,2,3.7777777777777777,170
2020-02-16,competition,40,2,3.15,126
2020-02-17,competition,49,2,3.0408163265306123,149
2020-02-18,competition,42,2,3.880952380952381,163
2020-02-19,competition,46,2,3.0,138
2020-02-20,competition,40,2,2.175,87
2020-02-21,competition,48,2,2.5416666666666665,122
2020-02-22,competition,50,2,4.24,212
2020-02-23,competition,38,1,3.289473684210526,125
