date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,food,160,1,2.28125,365
2019-12-27,food,184,1,2.114130434782609,389
2019-12-28,food,170,1,2.5058823529411764,426
2019-12-29,food,165,1,2.672727272727273,441
2019-12-30,food,132,1,2.5454545454545454,336
2019-12-31,food,167,1,2.856287425149701,477
2020-01-01,food,165,1,2.309090909090909,381
2020-01-02,food,172,1,2.2732558139534884,391
2020-01-03,food,172,0,2.5348837209302326,436
2020-01-04,food,193,0,2.6632124352331608,514
2020-01-05,food,182,0,2.1758241758241756,396
2020-01-06,food,188,0,2.367021276595745,445
2020-01-07,food,180,0,2.2777777777777777,410
2020-01-08,food,189,0,2.492063492063492,471
2020-01-09,food,190,0,2.4263157894736844,461
2020-01-10,food,177,3,2.943502824858757,521
2020-01-11,food,177,3,1.8248587570621468,323
2020-01-12,food,165,3,2.5757575757575757,425
2020-01-13,food,186,3,2.1774193548387095,405
2020-01-14,food,218,3,2.256880733944954,492
2020-01-15,food,176,3,2.4261363636363638,427
2020-01-16,food,188,3,2.1595744680851063,406
2020-01-17,food,196,2,2.4183673469387754,474
2020-01-18,food,185,2,2.1297297297297297,394
2020-01-19,food,145,2,1.8689655172413793,271
2020-01-20,food,183,2,2.1256830601092895,389
2020-01-21,food,203,2,2.2758620689655173,462
2020-01-22,food,173,2,2.468208092485549,427
2020-01-23,food,157,2,2.3121019108280256,363
2020-01-24,food,189,1,2.3174603174603177,438
2020-01-25,food,145,1,2.1448275862068966,311
2020-01-26,food,163,1,2.5153374233128836,410
2020-01-27,food,164,1,2.176829268292683,357
2020-01-28,food,170,1,2.211764705882353,376
2020-01-29,food,165,1,2.187878787878788,361
2020-01-30,food,164,1,2.4390243902439024,400
2020-01-31,food,197,1,2.6751269035532994,527
2020-02-01,food,174,1,2.17816091954023,379
2020-02-02,food,199,0,2.3115577889447234,460
2020-02-03,food,150,0,2.033333333333333,305
2020-02-04,food,147,0,2.054421768707483,302
2020-02-05,food,165,0,2.309090909090909,381
2020-02-06,food,216,0,2.689814814814815,581
2020-02-07,food,180,0,2.4444444444444446,440
2020-02-08,food,155,0,2.0193548387096776,313
2020-02-09,food,149,3,2.087248322147651,311
2020-02-10,food,167,3,2.6167664670658684,437
2020-02-11,food,166,3,2.1626506024096384,359
2020-02-12,food,154,3,2.538961038961039,391
2020-02-13,food,177,3,2.8757062146892656,509
2020-02-14,food,154,3,2.272727272727273,350
2020-02-15,food,189,2,2.068783068783069,391
2020-02-16,food,144,2,1.9513888888888888,281
2020-02-17,food,154,2,1.9675324675324675,303
2020-02-18,food,185,2,2.1621621621621623,400
2020-02-19,food,163,2,2.5950920245398774,423
2020-02-20,food,172,2,2.5,430
2020-02-21,food,163,2,2.184049079754601,356
2020-02-22,food,143,2,2.2237762237762237,318
2020-02-23,food,166,1,2.0903614457831323,347
