date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,foodie,59,1,2.1016949152542375,124
2019-12-27,foodie,53,1,3.3773584905660377,179
2019-12-28,foodie,58,1,2.793103448275862,162
2019-12-29,foodie,50,1,2.36,118
2019-12-30,foodie,56,1,1.7678571428571428,99
2019-12-31,foodie,37,1,2.189189189189189,81
2020-01-01,foodie,47,1,1.7872340425531914,84
2020-01-02,foodie,68,1,2.8970588235294117,197
2020-01-03,foodie,66,0,2.1818181818181817,144
2020-01-04,foodie,66,0,2.121212121212121,140
2020-01-05,foodie,66,0,2.5,165
2020-01-06,foodie,61,0,3.2950819672131146,201
2020-01-07,foodie,61,0,2.6721311475409837,163
2020-01-08,foodie,71,0,1.7746478873239437,126
2020-01-09,foodie,64,0,2.828125,181
2020-01-10,foodie,86,3,2.441860465116279,210
2020-01-11,foodie,65,3,2.4307692307692306,158
2020-01-12,foodie,62,3,2.064516129032258,128
2020-01-13,foodie,56,3,2.6964285714285716,151
2020-01-14,foodie,58,3,2.5689655172413794,149
2020-01-15,foodie,60,3,2.6,156
2020-01-16,foodie,77,3,2.6623376623376624,205
2020-01-17,foodie,57,2,2.3157894736842106,132
2020-01-18,foodie,54,2,3.3703703703703702,182
2020-01-19,foodie,63,2,2.507936507936508,158
2020-01-20,foodie,62,2,2.7580645161290325,171
2020-01-21,foodie,53,2,3.5283018867924527,187
2020-01-22,foodie,78,2,2.423076923076923,189
2020-01-23,foodie,62,2,3.4193548387096775,212
2020-01-24,foodie,63,1,2.2698412698412698,143
2020-01-25,foodie,63,1,2.4285714285714284,153
2020-01-26,foodie,56,1,1.9107142857142858,107
2020-01-27,foodie,58,1,2.5172413793103448,146
2020-01-28,foodie,76,1,3.1184210526315788,237
2020-01-29,foodie,121,1,3.0082644628099175,364
2020-01-30,foodie,136,1,3.625,493
2020-01-31,foodie,93,1,3.4086021505376345,317
2020-02-01,foodie,123,1,4.252032520325203,523
2020-02-02,foodie,125,0,3.432,429
2020-02-03,foodie,72,0,3.75,270
2020-02-04,foodie,124,0,3.6129032258064515,448
2020-02-05,foodie,90,0,4.288888888888889,386
2020-02-06,foodie,74,0,3.5,259
2020-02-07,foodie,63,0,2.4761904761904763,156
2020-02-08,foodie,60,0,2.0833333333333335,125
2020-02-09,foodie,70,3,2.2,154
2020-02-10,foodie,73,3,3.095890410958904,226
2020-02-11,foodie,69,3,2.710144927536232,187
2020-02-12,foodie,96,3,3.53125,339
2020-02-13,foodie,79,3,4.329113924050633,342
2020-02-14,foodie,65,3,2.6615384615384614,173
2020-02-15,foodie,67,2,2.4477611940298507,164
2020-02-16,foodie,102,2,4.0588235294117645,414
2020-02-17,foodie,137,2,4.547445255474453,623
2020-02-18,foodie,64,2,2.765625,177
2020-02-19,foodie,64,2,2.484375,159
2020-02-20,foodie,53,2,3.509433962264151,186
2020-02-21,foodie,51,2,1.392156862745098,71
2020-02-22,foodie,51,2,2.803921568627451,143
2020-02-23,foodie,59,1,3.016949152542373,178
