date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,happy,225,1,2.2977777777777777,517
2019-12-27,happy,213,1,2.4788732394366195,528
2019-12-28,happy,178,1,1.949438202247191,347
2019-12-29,happy,218,1,2.0091743119266057,438
2019-12-30,happy,251,1,1.9163346613545817,481
2019-12-31,happy,606,1,1.3613861386138615,825
2020-01-01,happy,573,1,1.4834205933682374,850
2020-01-02,happy,263,1,1.8745247148288973,493
2020-01-03,happy,224,0,2.049107142857143,459
2020-01-04,happy,222,0,2.009009009009009,446
2020-01-05,happy,230,0,1.9217391304347826,442
2020-01-06,happy,214,0,1.8738317757009346,401
2020-01-07,happy,211,0,2.0331753554502368,429
2020-01-08,happy,210,0,1.8952380952380952,398
2020-01-09,happy,212,0,2.169811320754717,460
2020-01-10,happy,229,3,2.109170305676856,483
2020-01-11,happy,229,3,2.3056768558951966,528
2020-01-12,happy,213,3,1.9765258215962442,421
2020-01-13,happy,223,3,2.3408071748878925,522
2020-01-14,happy,195,3,2.1384615384615384,417
2020-01-15,happy,231,3,2.0995670995670994,485
2020-01-16,happy,246,3,2.1341463414634148,525
2020-01-17,happy,201,2,2.199004975124378,442
2020-01-18,happy,197,2,2.16751269035533,427
2020-01-19,happy,217,2,1.6774193548387097,364
2020-01-20,happy,201,2,2.1592039800995027,434
2020-01-21,happy,214,2,1.97196261682243,422
2020-01-22,happy,203,2,2.2019704433497536,447
2020-01-23,happy,188,2,2.2180851063829787,417
2020-01-24,happy,237,1,2.1772151898734178,516
2020-01-25,happy,201,1,2.373134328358209,477
2020-01-26,happy,296,1,1.7702702702702702,524
2020-01-27,happy,230,1,1.9086956521739131,439
2020-01-28,happy,171,1,1.8070175438596492,309
2020-01-29,happy,175,1,2.0628571428571427,361
2020-01-30,happy,196,1,1.6683673469387754,327
2020-01-31,happy,218,1,1.853211009174312,404
2020-02-01,happy,184,1,1.8478260869565217,340
2020-02-02,happy,179,0,1.6033519553072626,287
2020-02-03,happy,176,0,1.7613636363636365,310
2020-02-04,happy,165,0,1.9878787878787878,328
2020-02-05,happy,188,0,1.8617021276595744,350
2020-02-06,happy,188,0,1.5585106382978724,293
2020-02-07,happy,197,0,2.050761421319797,404
2020-02-08,happy,177,0,1.6610169491525424,294
2020-02-09,happy,197,3,2.3045685279187818,454
2020-02-10,happy,208,3,2.2740384615384617,473
2020-02-11,happy,176,3,2.102272727272727,370
2020-02-12,happy,217,3,2.078341013824885,451
2020-02-13,happy,227,3,1.9383259911894273,440
2020-02-14,happy,293,3,2.0750853242320817,608
2020-02-15,happy,201,2,2.3482587064676617,472
2020-02-16,happy,173,2,1.4797687861271676,256
2020-02-17,happy,214,2,2.0700934579439254,443
2020-02-18,happy,200,2,2.13,426
2020-02-19,happy,203,2,1.980295566502463,402
2020-02-20,happy,192,2,2.109375,405
2020-02-21,happy,187,2,1.914438502673797,358
2020-02-22,happy,178,2,2.2808988764044944,406
2020-02-23,happy,178,1,2.056179775280899,366
