date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,healthy,74,1,0.0,0
2019-12-27,healthy,80,1,0.0,0
2019-12-28,healthy,83,1,0.0,0
2019-12-29,healthy,87,1,0.0,0
2019-12-30,healthy,84,1,0.0,0
2019-12-31,healthy,100,1,0.0,0
2020-01-01,healthy,115,1,0.0,0
2020-01-02,healthy,106,1,0.0,0
2020-01-03,healthy,86,0,0.0,0
2020-01-04,healthy,95,0,0.0,0
2020-01-05,healthy,95,0,0.0,0
2020-01-06,healthy,108,0,0.0,0
2020-01-07,healthy,125,0,0.0,0
2020-01-08,healthy,93,0,0.0,0
2020-01-09,healthy,72,0,0.0,0
2020-01-10,healthy,79,3,0.0,0
2020-01-11,healthy,91,3,0.0,0
2020-01-12,healthy,82,3,0.0,0
2020-01-13,healthy,108,3,0.0,0
2020-01-14,healthy,94,3,0.0,0
2020-01-15,healthy,84,3,0.0,0
2020-01-16,healthy,77,3,0.0,0
2020-01-17,healthy,77,2,0.0,0
2020-01-18,healthy,70,2,0.0,0
2020-01-19,healthy,70,2,0.0,0
2020-01-20,healthy,80,2,0.0,0
2020-01-21,healthy,87,2,0.0,0
2020-01-22,healthy,95,2,0.0,0
2020-01-23,healthy,85,2,0.0,0
2020-01-24,healthy,84,1,0.0,0
2020-01-25,healthy,62,1,0.0,0
2020-01-26,healthy,60,1,0.0,0
2020-01-27,healthy,85,1,0.0,0
2020-01-28,healthy,85,1,0.0,0
2020-01-29,healthy,85,1,0.0,0
2020-01-30,healthy,104,1,0.0,0
2020-01-31,healthy,127,1,0.0,0
2020-02-01,healthy,91,1,0.0,0
2020-02-02,healthy,81,0,0.0,0
2020-02-03,healthy,95,0,0.0,0
2020-02-04,healthy,89,0,0.0,0
2020-02-05,healthy,114,0,0.0,0
2020-02-06,healthy,91,0,0.0,0
2020-02-07,healthy,96,0,0.0,0
2020-02-08,healthy,81,0,0.0,0
2020-02-09,healthy,81,3,0.0,0
2020-02-10,healthy,93,3,0.0,0
2020-02-11,healthy,72,3,0.0,0
2020-02-12,healthy,127,3,0.0,0
2020-02-13,healthy,79,3,0.0,0
2020-02-14,healthy,91,3,0.0,0
2020-02-15,healthy,90,2,0.0,0
2020-02-16,healthy,78,2,0.0,0
2020-02-17,healthy,79,2,0.0,0
2020-02-18,healthy,99,2,0.0,0
2020-02-19,healthy,75,2,0.0,0
2020-02-20,healthy,92,2,0.0,0
2020-02-21,healthy,86,2,0.0,0
2020-02-22,healthy,69,2,0.0,0
2020-02-23,healthy,81,1,0.0,0
