date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,ireland,45,1,1.4,63
2019-12-27,ireland,49,1,2.938775510204082,144
2019-12-28,ireland,55,1,3.4363636363636365,189
2019-12-29,ireland,42,1,2.5952380952380953,109
2019-12-30,ireland,42,1,2.8095238095238093,118
2019-12-31,ireland,48,1,2.3541666666666665,113
2020-01-01,ireland,55,1,2.2545454545454544,124
2020-01-02,ireland,45,1,2.0444444444444443,92
2020-01-03,ireland,54,0,3.111111111111111,168
2020-01-04,ireland,65,0,3.0307692307692307,197
2020-01-05,ireland,56,0,2.392857142857143,134
2020-01-06,ireland,83,0,2.3493975903614457,195
2020-01-07,ireland,76,0,3.223684210526316,245
2020-01-08,ireland,52,0,1.75,91
2020-01-09,ireland,73,0,2.0821917808219177,152
2020-01-10,ireland,67,3,2.7761194029850746,186
2020-01-11,ireland,37,3,2.054054054054054,76
2020-01-12,ireland,60,3,1.8166666666666667,109
2020-01-13,ireland,74,3,2.6621621621621623,197
2020-01-14,ireland,90,3,1.9777777777777779,178
2020-01-15,ireland,109,3,2.5596330275229358,279
2020-01-16,ireland,77,3,2.935064935064935,226
2020-01-17,ireland,61,2,2.2295081967213113,136
2020-01-18,ireland,57,2,1.6491228070175439,94
2020-01-19,ireland,101,2,2.0594059405940595,208
2020-01-20,ireland,73,2,2.5205479452054793,184
2020-01-21,ireland,58,2,2.2586206896551726,131
2020-01-22,ireland,80,2,2.3,184
2020-01-23,ireland,63,2,2.4603174603174605,155
2020-01-24,ireland,64,1,1.96875,126
2020-01-25,ireland,63,1,2.365079365079365,149
2020-01-26,ireland,59,1,2.2203389830508473,131
2020-01-27,ireland,83,1,2.7710843373493974,230
2020-01-28,ireland,77,1,2.116883116883117,163
2020-01-29,ireland,78,1,2.358974358974359,184
2020-01-30,ireland,77,1,3.5714285714285716,275
2020-01-31,ireland,105,1,1.8952380952380952,199
2020-02-01,ireland,228,1,1.8991228070175439,433
2020-02-02,ireland,74,0,2.527027027027027,187
2020-02-03,ireland,75,0,2.1866666666666665,164
2020-02-04,ireland,95,0,2.4105263157894736,229
2020-02-05,ireland,72,0,2.388888888888889,172
2020-02-06,ireland,76,0,2.486842105263158,189
2020-02-07,ireland,102,0,2.1176470588235294,216
2020-02-08,ireland,357,0,1.557422969187675,556
2020-02-09,ireland,205,3,2.048780487804878,420
2020-02-10,ireland,169,3,1.952662721893491,330
2020-02-11,ireland,86,3,1.9767441860465116,170
2020-02-12,ireland,70,3,2.2142857142857144,155
2020-02-13,ireland,71,3,2.4225352112676055,172
2020-02-14,ireland,74,3,2.2027027027027026,163
2020-02-15,ireland,63,2,2.6507936507936507,167
2020-02-16,ireland,53,2,2.2452830188679247,119
2020-02-17,ireland,57,2,2.0350877192982457,116
2020-02-18,ireland,132,2,3.462121212121212,457
2020-02-19,ireland,69,2,2.072463768115942,143
2020-02-20,ireland,77,2,2.792207792207792,215
2020-02-21,ireland,96,2,2.3645833333333335,227
2020-02-22,ireland,74,2,2.324324324324324,172
2020-02-23,ireland,265,1,1.8716981132075472,496
