date,hashtag,total_error_count,lunar_phase,error_rate,total_tweets
2019-12-26,work,138,1,1.710144927536232,236
2019-12-27,work,165,1,1.606060606060606,265
2019-12-28,work,129,1,1.558139534883721,201
2019-12-29,work,149,1,1.308724832214765,195
2019-12-30,work,186,1,1.5053763440860215,280
2019-12-31,work,149,1,1.4161073825503356,211
2020-01-01,work,172,1,1.3488372093023255,232
2020-01-02,work,242,1,1.5289256198347108,370
2020-01-03,work,204,0,1.2549019607843137,256
2020-01-04,work,158,0,1.3037974683544304,206
2020-01-05,work,173,0,1.4797687861271676,256
2020-01-06,work,301,0,1.4086378737541527,424
2020-01-07,work,216,0,1.6388888888888888,354
2020-01-08,work,218,0,1.3761467889908257,300
2020-01-09,work,218,0,1.7477064220183487,381
2020-01-10,work,218,3,1.9128440366972477,417
2020-01-11,work,154,3,1.2467532467532467,192
2020-01-12,work,158,3,1.8291139240506329,289
2020-01-13,work,230,3,1.8043478260869565,415
2020-01-14,work,227,3,1.722466960352423,391
2020-01-15,work,197,3,1.6243654822335025,320
2020-01-16,work,217,3,1.4055299539170507,305
2020-01-17,work,196,2,1.3673469387755102,268
2020-01-18,work,147,2,1.6462585034013606,242
2020-01-19,work,136,2,1.6397058823529411,223
2020-01-20,work,230,2,1.7,391
2020-01-21,work,224,2,1.5625,350
2020-01-22,work,217,2,1.7834101382488479,387
2020-01-23,work,219,2,1.452054794520548,318
2020-01-24,work,170,1,1.3529411764705883,230
2020-01-25,work,154,1,1.6168831168831168,249
2020-01-26,work,130,1,1.123076923076923,146
2020-01-27,work,193,1,1.5129533678756477,292
2020-01-28,work,187,1,1.4919786096256684,279
2020-01-29,work,199,1,1.7135678391959799,341
2020-01-30,work,168,1,1.5714285714285714,264
2020-01-31,work,165,1,1.4484848484848485,239
2020-02-01,work,149,1,1.4563758389261745,217
2020-02-02,work,113,0,1.831858407079646,207
2020-02-03,work,192,0,1.5833333333333333,304
2020-02-04,work,216,0,1.7824074074074074,385
2020-02-05,work,203,0,1.7389162561576355,353
2020-02-06,work,240,0,1.4958333333333333,359
2020-02-07,work,211,0,1.3744075829383886,290
2020-02-08,work,130,0,1.8461538461538463,240
2020-02-09,work,126,3,1.5952380952380953,201
2020-02-10,work,198,3,1.5404040404040404,305
2020-02-11,work,211,3,1.6540284360189574,349
2020-02-12,work,179,3,1.6145251396648044,289
2020-02-13,work,208,3,1.6490384615384615,343
2020-02-14,work,124,3,1.653225806451613,205
2020-02-15,work,126,2,2.0396825396825395,257
2020-02-16,work,125,2,1.76,220
2020-02-17,work,224,2,1.5,336
2020-02-18,work,212,2,1.5424528301886793,327
2020-02-19,work,200,2,1.955,391
2020-02-20,work,194,2,1.443298969072165,280
2020-02-21,work,174,2,1.6551724137931034,288
2020-02-22,work,133,2,1.3383458646616542,178
2020-02-23,work,143,1,2.027972027972028,290
